date,forecast_sales
2022-12-10,482.1824420632993
2022-12-11,442.4421882667365
2022-12-12,465.23053056458417
2022-12-13,452.16296065568764
2022-12-14,459.65632639032583
2022-12-15,455.35938897774525
2022-12-16,457.82339137419655
2022-12-17,456.41045298883813
2022-12-18,457.2206773959631
2022-12-19,456.7560686085569
2022-12-20,457.0224902609248
2022-12-21,456.8697154990726
2022-12-22,456.9573214712283
2022-12-23,456.90708538338043
2022-12-24,456.9358923751888
2022-12-25,456.9193735176782
2022-12-26,456.9288459629537
2022-12-27,456.92341415754953
2022-12-28,456.9265289298275
2022-12-29,456.9247428190187
2022-12-30,456.92576703252024
2022-12-31,456.92517971548955
2023-01-01,456.92551650200335
2023-01-02,456.9253233777622
2023-01-03,456.9254341214262
2023-01-04,456.92537061744014
2023-01-05,456.92540703267235
2023-01-06,456.9253861510046
2023-01-07,456.9253981252259
2023-01-08,456.9253912588215
